model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_heterogeneous_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,4.47792793694704E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,heterogeneous,28,3,3,0.1,0.4,0,0.2,false,0.05,0.1,0.1,0.05,7.12889348418325E+018,35,0.0785371351062546,3.267524111228E-05,2.373053343957E-05,1,4,-0.4,2.16666666666667,0.7
consensus,heterogeneous,28,3,3,0.1,0.4,0,0.2,false,0.05,0.1,0.1,0.05,4.47792793694704E+018,35,0.0785371351062546,3.267524111228E-05,2.373053343957E-05,1,4,-0.4,2.16666666666667,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,1.84114252416859E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,6.90547037085634E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,homogeneous,50,0,6,0.5,0.6,0.8,0.1,false,0.05,0.1,0.1,0.05,7.24071359189169E+018,15,0.0761433105095662,1.06323515735E-06,6.0686914175E-07,1,3,0.2,0,0
consensus,heterogeneous,28,3,3,0.1,0.4,0,0.2,false,0.05,0.1,0.1,0.05,4.34257261248481E+018,35,0.0785371351062546,3.267524111228E-05,2.373053343957E-05,1,4,-0.4,2.16666666666667,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,8.80361844505413E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,7.04337208916658E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,1.09591146466576E+017,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
consensus,heterogeneous,21,3,3,0.3,0.2,0.6,0.2,false,0.05,0.1,0.1,0.05,7.12889348418325E+018,20,0.109421369845544,2.8208510077E-07,2.0073521464E-07,1,4,0.4,0,0.7
