model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,experiment_id,speaking_mode
no_change,heterogeneous,14,M15,81,1,3,3,0.7777777777777782,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.0,0.7291666666666669,0.02458731638660266,0.7291666666666669,0.7777777777777782,0.9166666666666666,0.16666666666666666,0.8888888888888884,0.0,0.747685185185185,0.55,0.0,0.01851851851851816,0.04861111111111138,0.18749999999999978,0.5625000000000002,0.15972222222222154,0.7291666666666669,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7139002048363152400.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,82,1,3,3,0.7222222222222218,1.0,0.0,0.38888888888888834,0.0,0.8657407407407408,0.02458731638660266,0.8657407407407408,0.805555555555555,1.0,0.0,0.38888888888888834,0.0,0.8865740740740741,0.43888888888888866,0.0,0.02083333333333326,0.06018518518518579,0.1342592592592592,0.8657407407407408,0.47685185185185247,0.8657407407407408,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7139002048363152400.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,83,1,3,3,0.8333333333333334,0.75,0.375,0.6666666666666666,0.16666666666666666,0.6944444444444445,0.02458731638660266,0.6944444444444445,0.9722222222222218,0.75,0.5,0.555555555555555,0.22222222222222165,0.7175925925925926,0.5999999999999996,0.0,0.02314814814814803,0.27777777777777724,0.05555555555555547,0.19444444444444453,0.1388888888888895,0.4722222222222229,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7139002048363152400.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,84,0,3,3,0.694444444444445,0.75,0.5833333333333334,0.8888888888888884,0.6111111111111116,0.5138888888888891,0.02458731638660266,0.5138888888888891,0.6388888888888884,0.7916666666666666,0.5416666666666666,0.6666666666666666,0.7222222222222218,0.5358796296296297,0.6722222222222219,0.0,0.02199074074074059,0.12499999999999933,0.27777777777777757,0.02777777777777757,0.15277777777777757,0.2083333333333327,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,85,0,3,3,0.5,0.75,0.875,1.0,0.27777777777777835,0.45370370370370355,0.02458731638660266,0.45370370370370355,0.5277777777777782,0.8333333333333334,0.625,1.0,0.27777777777777835,0.5231481481481483,0.652777777777778,0.0,0.0694444444444447,0.07407407407407468,0.3796296296296298,0.17129629629629645,0.5462962962962965,0.1759259259259252,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,86,0,3,3,0.6111111111111116,0.75,0.7083333333333334,1.0,0.6666666666666666,0.4444444444444446,0.02458731638660266,0.4444444444444446,0.6388888888888884,0.7083333333333334,0.375,1.0,0.38888888888888834,0.542824074074074,0.622222222222222,0.0,0.09837962962962937,0.1944444444444438,0.2638888888888888,0.06944444444444459,0.5555555555555554,0.05555555555555625,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,109591146466576384.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4692690466958798800.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4692690466958798800.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4692690466958798800.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4692690466958798800.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7240713591891685400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7240713591891685400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7240713591891685400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7240713591891685400.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,81,1,3,3,0.7777777777777782,0.9166666666666666,0.3333333333333333,0.8333333333333334,0.0,0.7291666666666669,0.02458731638660266,0.7291666666666669,0.7777777777777782,0.9166666666666666,0.16666666666666666,0.8888888888888884,0.0,0.747685185185185,0.55,0.0,0.01851851851851816,0.04861111111111138,0.18749999999999978,0.5625000000000002,0.15972222222222154,0.7291666666666669,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,82,1,3,3,0.7222222222222218,1.0,0.0,0.38888888888888834,0.0,0.8657407407407408,0.02458731638660266,0.8657407407407408,0.805555555555555,1.0,0.0,0.38888888888888834,0.0,0.8865740740740741,0.43888888888888866,0.0,0.02083333333333326,0.06018518518518579,0.1342592592592592,0.8657407407407408,0.47685185185185247,0.8657407407407408,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,83,1,3,3,0.8333333333333334,0.75,0.375,0.6666666666666666,0.16666666666666666,0.6944444444444445,0.02458731638660266,0.6944444444444445,0.9722222222222218,0.75,0.5,0.555555555555555,0.22222222222222165,0.7175925925925926,0.5999999999999996,0.0,0.02314814814814803,0.27777777777777724,0.05555555555555547,0.19444444444444453,0.1388888888888895,0.4722222222222229,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,84,0,3,3,0.694444444444445,0.75,0.5833333333333334,0.8888888888888884,0.6111111111111116,0.5138888888888891,0.02458731638660266,0.5138888888888891,0.6388888888888884,0.7916666666666666,0.5416666666666666,0.6666666666666666,0.7222222222222218,0.5358796296296297,0.6722222222222219,0.0,0.02199074074074059,0.12499999999999933,0.27777777777777757,0.02777777777777757,0.15277777777777757,0.2083333333333327,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,85,0,3,3,0.5,0.75,0.875,1.0,0.27777777777777835,0.45370370370370355,0.02458731638660266,0.45370370370370355,0.5277777777777782,0.8333333333333334,0.625,1.0,0.27777777777777835,0.5231481481481483,0.652777777777778,0.0,0.0694444444444447,0.07407407407407468,0.3796296296296298,0.17129629629629645,0.5462962962962965,0.1759259259259252,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,14,M15,86,0,3,3,0.6111111111111116,0.75,0.7083333333333334,1.0,0.6666666666666666,0.4444444444444446,0.02458731638660266,0.4444444444444446,0.6388888888888884,0.7083333333333334,0.375,1.0,0.38888888888888834,0.542824074074074,0.622222222222222,0.0,0.09837962962962937,0.1944444444444438,0.2638888888888888,0.06944444444444459,0.5555555555555554,0.05555555555555625,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4286360386944651300.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,6905470370856337400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,8636175130330607600.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,6905470370856337400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,8636175130330607600.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,6905470370856337400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,8636175130330607600.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,6905470370856337400.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,8636175130330607600.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,5702577027890589700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,5702577027890589700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,5702577027890589700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,5702577027890589700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,1841142524168585220.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,1841142524168585220.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,1841142524168585220.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,1841142524168585220.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7043372089166577700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,127,1,2,2,0.805555555555555,0.9583333333333334,0.4166666666666667,0.44444444444444503,0.16666666666666666,0.7696759259259257,0.04088593575853047,0.7696759259259257,0.8611111111111116,0.9583333333333334,0.4583333333333333,0.44444444444444503,0.11111111111111167,0.7858796296296301,0.5666666666666671,0.0,0.01620370370370439,0.0914351851851859,0.18865740740740766,0.3113425925925924,0.3252314814814807,0.658564814814814,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7043372089166577700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,128,0,2,2,0.5833333333333334,1.0,0.875,1.0,0.8888888888888884,0.4351851851851853,0.04088593575853047,0.4351851851851853,0.4166666666666667,1.0,0.875,1.0,0.8888888888888884,0.3935185185185183,0.836111111111111,0.0,0.04166666666666696,0.0185185185185186,0.5648148148148147,0.4398148148148147,0.5648148148148147,0.4537037037037031,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7043372089166577700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,129,0,2,2,0.4166666666666667,0.8333333333333334,0.875,1.0,1.0,0.3333333333333333,0.04088593575853047,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,0.3541666666666667,0.8833333333333334,0.0,0.02083333333333337,0.25000000000000006,0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,7043372089166577700.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4398895106259038200.0,15,false,no_change_exp,false
no_change,heterogeneous,20,M26,126,1,2,2,0.9722222222222218,0.8333333333333334,0.16666666666666666,0.7777777777777782,0.0,0.7939814814814813,0.04088593575853047,0.7939814814814813,0.944444444444445,0.8333333333333334,0.0,0.6111111111111116,0.0,0.8425925925925926,0.477777777777778,0.0,0.04861111111111127,0.1504629629629637,0.03935185185185208,0.7939814814814813,0.18287037037036968,0.7939814814814813,0.2,0.5,0.6,0.1,0.2,0.5,0.6,0.1,4342572612484808700.0,15,false,no_change_exp,false
